Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,14,0.9099999999999999,0.9099999999999999,0.4162537828155511
100% Corpus,14,0.9099999999999999,symmetric,0.4049306241821838
100% Corpus,14,symmetric,0.01,0.39923044122897827
100% Corpus,14,symmetric,0.31,0.41525817442273016
100% Corpus,14,symmetric,0.61,0.40076453334045864
100% Corpus,14,symmetric,0.9099999999999999,0.417246192452048
100% Corpus,14,symmetric,symmetric,0.40951664894955286
100% Corpus,14,asymmetric,0.01,0.43671915270822526
100% Corpus,14,asymmetric,0.31,0.42686217567938106
100% Corpus,14,asymmetric,0.61,0.37657378566048916
100% Corpus,14,asymmetric,0.9099999999999999,0.3791651224096083
100% Corpus,14,asymmetric,symmetric,0.3994424550694596
100% Corpus,15,0.01,0.01,0.39310012842889674
100% Corpus,15,0.01,0.31,0.40687343145030214
100% Corpus,15,0.01,0.61,0.3944969542899276
100% Corpus,15,0.01,0.9099999999999999,0.4084619977225233
100% Corpus,15,0.01,symmetric,0.4108969766331301
100% Corpus,15,0.31,0.01,0.4010428373204213
100% Corpus,15,0.31,0.31,0.3825865989165813
100% Corpus,15,0.31,0.61,0.4178217777857361
100% Corpus,15,0.31,0.9099999999999999,0.39135764265367495
100% Corpus,15,0.31,symmetric,0.3964157280637984
100% Corpus,15,0.61,0.01,0.41163836406401855
100% Corpus,15,0.61,0.31,0.3822222601531545
100% Corpus,15,0.61,0.61,0.37664688361092424
100% Corpus,15,0.61,0.9099999999999999,0.393926128553535
100% Corpus,15,0.61,symmetric,0.4189167317799823
100% Corpus,15,0.9099999999999999,0.01,0.40933962627702447
100% Corpus,15,0.9099999999999999,0.31,0.4112315009875149
100% Corpus,15,0.9099999999999999,0.61,0.40331326176336646
100% Corpus,15,0.9099999999999999,0.9099999999999999,0.3981787763963895
100% Corpus,15,0.9099999999999999,symmetric,0.4211562149544816
100% Corpus,15,symmetric,0.01,0.4039154183624915
100% Corpus,15,symmetric,0.31,0.3952317651207108
100% Corpus,15,symmetric,0.61,0.41930392055935606
100% Corpus,15,symmetric,0.9099999999999999,0.4349184901592296
100% Corpus,15,symmetric,symmetric,0.41025143781574974
100% Corpus,15,asymmetric,0.01,0.4032081155494662
100% Corpus,15,asymmetric,0.31,0.4318995226864336
100% Corpus,15,asymmetric,0.61,0.4106907072847896
100% Corpus,15,asymmetric,0.9099999999999999,0.416906285689227
100% Corpus,15,asymmetric,symmetric,0.43369419580091045
100% Corpus,16,0.01,0.01,0.3938237287841877
100% Corpus,16,0.01,0.31,0.39013112379469217
100% Corpus,16,0.01,0.61,0.42096122339587677
100% Corpus,16,0.01,0.9099999999999999,0.42276707468000096
100% Corpus,16,0.01,symmetric,0.3852468942706393
100% Corpus,16,0.31,0.01,0.39213189201926263
100% Corpus,16,0.31,0.31,0.376506064437856
100% Corpus,16,0.31,0.61,0.40646300527165036
100% Corpus,16,0.31,0.9099999999999999,0.4375010333901817
100% Corpus,16,0.31,symmetric,0.3910051447602114
100% Corpus,16,0.61,0.01,0.40549177193016456
100% Corpus,16,0.61,0.31,0.38298095164231616
100% Corpus,16,0.61,0.61,0.3973725197188897
100% Corpus,16,0.61,0.9099999999999999,0.40377028286424976
100% Corpus,16,0.61,symmetric,0.4272473345818498
100% Corpus,16,0.9099999999999999,0.01,0.4113132199009737
100% Corpus,16,0.9099999999999999,0.31,0.39814843600618993
100% Corpus,16,0.9099999999999999,0.61,0.41308056018283423
100% Corpus,16,0.9099999999999999,0.9099999999999999,0.3908812923352698
100% Corpus,16,0.9099999999999999,symmetric,0.3995765616910089
100% Corpus,16,symmetric,0.01,0.40764142109964185
100% Corpus,16,symmetric,0.31,0.3796582198902471
100% Corpus,16,symmetric,0.61,0.39974101798672024
100% Corpus,16,symmetric,0.9099999999999999,0.4382507476508224
100% Corpus,16,symmetric,symmetric,0.39103696329524884
100% Corpus,16,asymmetric,0.01,0.39339050121758223
100% Corpus,16,asymmetric,0.31,0.37564840233759617
100% Corpus,16,asymmetric,0.61,0.40266282483000193
100% Corpus,16,asymmetric,0.9099999999999999,0.4381436862995657
100% Corpus,16,asymmetric,symmetric,0.3873170039216842
100% Corpus,17,0.01,0.01,0.41360253155465765
100% Corpus,17,0.01,0.31,0.44087560022139965
100% Corpus,17,0.01,0.61,0.43942254640116085
100% Corpus,17,0.01,0.9099999999999999,0.4074677716744486
100% Corpus,17,0.01,symmetric,0.3938324538583015
100% Corpus,17,0.31,0.01,0.4018568445874107
100% Corpus,17,0.31,0.31,0.4387552924553506
100% Corpus,17,0.31,0.61,0.43829532131664634
100% Corpus,17,0.31,0.9099999999999999,0.4026321965673414
100% Corpus,17,0.31,symmetric,0.3976925933546524
100% Corpus,17,0.61,0.01,0.4345503423234028
100% Corpus,17,0.61,0.31,0.42773787006494224
100% Corpus,17,0.61,0.61,0.3841434266529194
100% Corpus,17,0.61,0.9099999999999999,0.36737376089710516
100% Corpus,17,0.61,symmetric,0.424433783106869
100% Corpus,17,0.9099999999999999,0.01,0.4195847724800935
100% Corpus,17,0.9099999999999999,0.31,0.39333465240498017
100% Corpus,17,0.9099999999999999,0.61,0.3865124522891022
100% Corpus,17,0.9099999999999999,0.9099999999999999,0.39987742939884935
100% Corpus,17,0.9099999999999999,symmetric,0.42070565325944564
100% Corpus,17,symmetric,0.01,0.41749999220703404
100% Corpus,17,symmetric,0.31,0.40132880501624235
100% Corpus,17,symmetric,0.61,0.41221102705906965
100% Corpus,17,symmetric,0.9099999999999999,0.43039636995194097
100% Corpus,17,symmetric,symmetric,0.41084352588664586
100% Corpus,17,asymmetric,0.01,0.4150272212041237
100% Corpus,17,asymmetric,0.31,0.40445671281168205
100% Corpus,17,asymmetric,0.61,0.4419606065058907
100% Corpus,17,asymmetric,0.9099999999999999,0.4091612585128166
100% Corpus,17,asymmetric,symmetric,0.40322724055484194
100% Corpus,18,0.01,0.01,0.4177135036979968
100% Corpus,18,0.01,0.31,0.4319932778171263
100% Corpus,18,0.01,0.61,0.4403457025841436
100% Corpus,18,0.01,0.9099999999999999,0.45626048317100143
100% Corpus,18,0.01,symmetric,0.4000577449444275
100% Corpus,18,0.31,0.01,0.3878604306016048
100% Corpus,18,0.31,0.31,0.3954306310979783
100% Corpus,18,0.31,0.61,0.4498410442515024
100% Corpus,18,0.31,0.9099999999999999,0.4262659506334768
100% Corpus,18,0.31,symmetric,0.40115533818811516
100% Corpus,18,0.61,0.01,0.43905334607767327
100% Corpus,18,0.61,0.31,0.41897110972426377
100% Corpus,18,0.61,0.61,0.38821206395789887
100% Corpus,18,0.61,0.9099999999999999,0.41524083786995736
100% Corpus,18,0.61,symmetric,0.4353179349793821
100% Corpus,18,0.9099999999999999,0.01,0.42091194985116487
100% Corpus,18,0.9099999999999999,0.31,0.4168141422200358
100% Corpus,18,0.9099999999999999,0.61,0.399379965184528
100% Corpus,18,0.9099999999999999,0.9099999999999999,0.4146471100886359
100% Corpus,18,0.9099999999999999,symmetric,0.41311151180239175
100% Corpus,18,symmetric,0.01,0.43116076077637516
100% Corpus,18,symmetric,0.31,0.42726352205179924
100% Corpus,18,symmetric,0.61,0.4283255151174664
100% Corpus,18,symmetric,0.9099999999999999,0.4362884104954301
100% Corpus,18,symmetric,symmetric,0.38716130479574495
100% Corpus,18,asymmetric,0.01,0.4179374252615473
100% Corpus,18,asymmetric,0.31,0.4121120883639945
100% Corpus,18,asymmetric,0.61,0.4421482297756919
